iata_code	name	timezone
AAA	Anaa Airport	Pacific/Tahiti
AAB	Arrabury Airport	Australia/Brisbane
AAC	El Arish International Airport	Africa/Cairo
AAD	Adado Airport	Africa/Mogadishu
AAE	Rabah Bitat Annaba Airport	Africa/Algiers
AAF	Apalachicola Municipal Airport	America/New_York
AAG	Avelino Vieira Airport	America/Sao_Paulo
AAH	Aachen	Europe/Berlin
AAI	Arraias Airport	America/Araguaina
AAJ	Awa Dam	America/Paramaribo
AAK	Aranuka Airport	Pacific/Tarawa
AAL	Aalborg Airport	Europe/Copenhagen
AAM	Malamala Game Reserve	Africa/Johannesburg
AAN	Al Ain International Airport	Asia/Dubai
AAO	Anaco Airport	America/Caracas
AAP	APT Pranoto Airport	Asia/Makassar
AAQ	Anapa Airport	Europe/Moscow
AAR	Aarhus Airport	Europe/Copenhagen
AAS	Apalapsili Airport	Asia/Jayapura
AAT	Altay Airport	Asia/Urumqi
AAU	Asau Airport	Pacific/Apia
AAV	Allah Valley Airport	Asia/Manila
AAW	Abbottabad Airport	Asia/Karachi
AAX	Araxá Airport	America/Sao_Paulo
AAY	Al Ghaidah International Airport	Asia/Aden
AAZ	Quezaltenango	America/Guatemala
ABA	Abakan International Airport	Asia/Krasnoyarsk
ABB	Asaba International Airport	Africa/Lagos
ABC	Albacete Airport	Europe/Madrid
ABD	Abadan International Airport	Asia/Tehran
ABE	Lehigh Valley International Airport	America/New_York
ABF	Abaiang Atoll Airport	Pacific/Tarawa
ABG	Abingdon Airport	Australia/Brisbane
ABH	Alpha Airport	Australia/Brisbane
ABI	Abilene Regional Airport	America/Chicago
ABJ	Port Bouet Airport	Africa/Abidjan
ABK	Kabri Dar Airport	Africa/Addis_Ababa
ABL	Ambler	America/Anchorage
ABM	Northern Peninsula Airport	Australia/Brisbane
ABN	Albina Airstrip	America/Paramaribo
ABO	Aboisso Airport	Africa/Abidjan
ABP	Atkamba Airport	Pacific/Port_Moresby
ABQ	Albuquerque International Airport	America/Denver
ABR	Aberdeen Regional Airport	America/Chicago
ABS	Abu Simbel Airport	Africa/Cairo
ABT	Al-Baha Domestic Airport	Asia/Riyadh
ABU	A. A. Bere Tallo Airport	Asia/Makassar
ABV	Nnamdi Azikiwe International Airport	Africa/Lagos
ABW	Abau Airport	Pacific/Port_Moresby
ABX	Albury Airport	Australia/Sydney
ABY	Southwest Georgia Regional Airport	America/New_York
ABZ	Aberdeen International Airport	Europe/London
ACA	General Juan N. Álvarez International Airport	America/Mexico_City
ACB	Bellaire	America/Detroit
ACC	Accra	Africa/Accra
ACD	Alcides Fernández Airport	America/Bogota
ACE	Lanzarote Airport	Atlantic/Canary
ACH	St. Gallen-Altenrhein Airport	Europe/Zurich
ACI	Alderney Airport	Europe/Guernsey
ACJ	SLAF Anuradhapura	Asia/Colombo
ACK	Nantucket Memorial Airport	America/New_York
ACL	Aguaclara Airport	America/Bogota
ACM	Puerto Arica Airport	America/Bogota
ACN	Ciudad Acuña New International Airport	America/Matamoros
ACO	Locarno Airport	Europe/Zurich
ACP	Marāgheh	Asia/Tehran
ACR	Araracuara Airport	America/Bogota
ACS	Achinsk Airport	Asia/Krasnoyarsk
ACT	Waco Regional Airport	America/Chicago
ACU	Achutupo	America/Panama
ACV	Arcata-Eureka Airport	America/Los_Angeles
